                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                  1.566,                 1.1123,                0.90578,                0.06116,                 0.2381,                0.02536,                0.01306,                 2.3125,                 10.917,                 1.2119,             0.00036396,             0.00036396,             0.00036396
                     51,                 1.6115,                 1.0101,                0.94258,                0.06116,                 0.2381,                0.02536,                0.01306,                 2.3125,                 10.917,                 1.2119,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.7405,                 1.1206,                 0.9327,                0.36623,                0.28571,                0.17582,                0.07254,                 2.4371,                 2.5378,                 1.2464,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.4403,                 0.9246,                0.90524,                0.36623,                0.28571,                0.17582,                0.07254,                 2.4371,                 2.5378,                 1.2464,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.5052,                 1.0584,                0.92379,                0.33073,                0.28571,                0.23684,                0.09748,                 2.4255,                 2.4681,                 1.2255,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.7471,                 1.2043,                0.90963,                0.33073,                0.28571,                0.23684,                0.09748,                 2.4255,                 2.4681,                 1.2255,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.2907,                0.83729,                0.97143,                0.54859,                 0.2381,                0.20466,                0.08331,                 2.2814,                 2.4367,                  1.181,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.4981,                0.93953,                0.94554,                0.54859,                 0.2381,                0.20466,                0.08331,                 2.2814,                 2.4367,                  1.181,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.4755,                0.85384,                0.90043,                0.51982,                 0.2381,                0.21619,                0.07988,                  2.306,                  2.292,                 1.1641,             0.00031109,             0.00031109,             0.00031109
                     59,                 1.2226,                0.78863,                0.92301,                0.51982,                 0.2381,                0.21619,                0.07988,                  2.306,                  2.292,                 1.1641,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.4182,                0.85416,                0.93616,                 0.2571,                0.33333,                0.21452,                0.09585,                 2.3008,                  2.239,                 1.1732,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.2253,                0.73281,                0.90982,                 0.2571,                0.33333,                0.21452,                0.09585,                 2.3008,                  2.239,                 1.1732,             0.00028988,             0.00028988,             0.00028988
                     62,                 1.5389,                 1.0092,                0.91699,                0.27646,                0.33333,                0.20839,                0.10439,                 2.3617,                  2.391,                 1.1866,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.4992,                  0.905,                0.91191,                0.27646,                0.33333,                0.20839,                0.10439,                 2.3617,                  2.391,                 1.1866,             0.00027575,             0.00027575,             0.00027575
                     64,                  1.207,                0.74529,                0.90034,                0.22452,                0.28571,                0.22223,                0.10476,                 2.4333,                 2.3899,                 1.2035,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.4267,                0.82733,                0.92158,                0.22452,                0.28571,                0.22223,                0.10476,                 2.4333,                 2.3899,                 1.2035,             0.00026161,             0.00026161,             0.00026161
                     66,                 1.2123,                0.70207,                0.92125,                0.44673,                0.19048,                0.21541,                0.09388,                 2.4246,                 2.4272,                 1.1979,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.2605,                0.74906,                 0.8771,                0.44673,                0.19048,                0.21541,                0.09388,                 2.4246,                 2.4272,                 1.1979,             0.00024747,             0.00024747,             0.00024747
                     68,                 1.3607,                0.81002,                0.92653,                0.46028,                0.19048,                 0.2038,                0.09673,                 2.4919,                 2.5699,                  1.221,              0.0002404,              0.0002404,              0.0002404
                     69,                 1.4354,                0.84841,                0.87915,                0.46028,                0.19048,                 0.2038,                0.09673,                 2.4919,                 2.5699,                  1.221,             0.00023334,             0.00023334,             0.00023334
                     70,                 1.1456,                0.76247,                0.88589,                0.38447,                 0.2381,                0.19539,                0.08514,                 2.5899,                 2.4509,                 1.2736,             0.00022627,             0.00022627,             0.00022627
                     71,                 1.4068,                0.72936,                0.88576,                0.38447,                 0.2381,                0.19539,                0.08514,                 2.5899,                 2.4509,                 1.2736,              0.0002192,              0.0002192,              0.0002192
                     72,                  1.151,                0.69593,                0.91811,                0.38737,                0.19048,                0.18529,                0.06026,                 2.5776,                 2.3516,                 1.3272,             0.00021213,             0.00021213,             0.00021213
                     73,                 1.4383,                0.71089,                 1.0066,                0.38737,                0.19048,                0.18529,                0.06026,                 2.5776,                 2.3516,                 1.3272,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.4344,                0.84458,                0.92966,                0.43041,                0.18085,                0.15442,                0.05177,                 2.5683,                 2.4641,                   1.32,             0.00019799,             0.00019799,             0.00019799
                     75,                 1.0093,                0.63805,                0.85078,                0.43041,                0.18085,                0.15442,                0.05177,                 2.5683,                 2.4641,                   1.32,             0.00019092,             0.00019092,             0.00019092
                     76,                 1.4722,                0.91055,                0.93444,                0.18821,                0.33333,                0.13926,                 0.0453,                  2.537,                 2.5955,                 1.3238,             0.00018385,             0.00018385,             0.00018385
                     77,                 1.1663,                0.71136,                0.90547,                0.18821,                0.33333,                0.13926,                 0.0453,                  2.537,                 2.5955,                 1.3238,             0.00017679,             0.00017679,             0.00017679
                     78,                 1.2558,                0.67358,                0.93056,                0.21473,                0.33333,                0.14038,                0.03963,                 2.5304,                 2.5189,                 1.3257,             0.00016972,             0.00016972,             0.00016972
                     79,                  1.408,                0.68402,                0.86437,                0.21473,                0.33333,                0.14038,                0.03963,                 2.5304,                 2.5189,                 1.3257,             0.00016265,             0.00016265,             0.00016265
                     80,                 1.1834,                0.60655,                0.89284,                0.30367,                0.19048,                0.16141,                 0.0425,                 2.5978,                 2.5461,                 1.3499,             0.00015558,             0.00015558,             0.00015558
                     81,                 1.1596,                0.65758,                0.89084,                0.30367,                0.19048,                0.16141,                 0.0425,                 2.5978,                 2.5461,                 1.3499,             0.00014851,             0.00014851,             0.00014851
                     82,                 1.0641,                0.59216,                0.90615,                0.21036,                0.28571,                0.11997,                0.04283,                 2.5779,                 2.6308,                 1.3508,             0.00014144,             0.00014144,             0.00014144
                     83,                 1.0729,                0.60833,                0.86242,                0.21036,                0.28571,                0.11997,                0.04283,                 2.5779,                 2.6308,                 1.3508,             0.00013437,             0.00013437,             0.00013437
                     84,                 1.1171,                0.65536,                0.82663,                0.26362,                0.28571,                0.16606,                0.04908,                 2.5517,                 2.7426,                 1.3581,             0.00012731,             0.00012731,             0.00012731
                     85,                 1.2822,                0.74143,                0.85568,                0.26362,                0.28571,                0.16606,                0.04908,                 2.5517,                 2.7426,                 1.3581,             0.00012024,             0.00012024,             0.00012024
                     86,                 1.2494,                0.75226,                0.89287,                0.22919,                 0.2381,                0.12632,                0.05241,                 2.5106,                 2.7063,                 1.3258,             0.00011317,             0.00011317,             0.00011317
                     87,                  1.378,                0.80236,                0.90143,                0.22919,                 0.2381,                0.12632,                0.05241,                 2.5106,                 2.7063,                 1.3258,              0.0001061,              0.0001061,              0.0001061
                     88,                 1.0599,                0.54882,                0.87084,                0.25696,                0.29676,                0.14257,                  0.057,                 2.4852,                 2.6492,                 1.3114,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 1.2423,                0.66941,                0.82125,                0.25696,                0.29676,                0.14257,                  0.057,                 2.4852,                 2.6492,                 1.3114,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                 1.0314,                0.52684,                0.82528,                0.28734,                0.33333,                0.14583,                0.06432,                 2.4536,                 2.6273,                 1.3098,             8.4895e-05,             8.4895e-05,             8.4895e-05
